cik,company_name,filing_type,filing_date,filing_link
1106842,SEEBEYOND TECHNOLOGY CORP,10-K,2001-03-30,https://www.sec.gov/Archives/edgar/data/000091205701505576/a2040259z10-k.htm
875173,SOFTWARE SPECTRUM INC,10-Q,2001-03-16,https://www.sec.gov/Archives/edgar/data/000095013401002235/d85042e10-q.txt
840824,NETEGRITY INC,10-K,2001-02-28,https://www.sec.gov/Archives/edgar/data/000095013501500153/b37852nee10-k.txt
1002044,INFINIUM SOFTWARE INC,10-Q,2001-02-14,https://www.sec.gov/Archives/edgar/data/000095013501000580/b38319ine10-q.txt
875173,SOFTWARE SPECTRUM INC,10-Q,2000-12-15,https://www.sec.gov/Archives/edgar/data/000095013400010535/d82659e10-q.txt
1019180,SOFTWARE COM INC,10-Q,2000-11-14,https://www.sec.gov/Archives/edgar/data/000101287000005774/0001.txt
1060531,BEYOND COM CORP,10-Q,2000-11-14,https://www.sec.gov/Archives/edgar/data/000089161800005139/f67258e10-q.txt
840824,NETEGRITY INC,10-Q,2000-11-14,https://www.sec.gov/Archives/edgar/data/000095013500005039/b37145nte10-q.txt
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2000-11-14,https://www.sec.gov/Archives/edgar/data/000091205700049804/a2030120z10-q.txt
352683,SAGA SYSTEMS INC /DE/,10-Q,2000-11-13,https://www.sec.gov/Archives/edgar/data/000092838500003071/0001.txt
875173,SOFTWARE SPECTRUM INC,10-Q,2000-09-14,https://www.sec.gov/Archives/edgar/data/000095013400007888/d80294e10-q.txt
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2000-08-14,https://www.sec.gov/Archives/edgar/data/000091205700037308/a10-q.txt
1019180,SOFTWARE COM INC,10-Q,2000-08-14,https://www.sec.gov/Archives/edgar/data/000101287000004425/0001.txt
840824,NETEGRITY INC,10-Q,2000-08-14,https://www.sec.gov/Archives/edgar/data/000095013500004036/e10-q.txt
1060531,BEYOND COM CORP,10-Q,2000-08-14,https://www.sec.gov/Archives/edgar/data/000109581100002827/e10-q.txt
352683,SAGA SYSTEMS INC /DE/,10-Q,2000-08-11,https://www.sec.gov/Archives/edgar/data/000092838500002188/0001.txt
1002044,INFINIUM SOFTWARE INC,10-Q,2000-08-11,https://www.sec.gov/Archives/edgar/data/000095013500003930/e10-q.txt
875173,SOFTWARE SPECTRUM INC,10-K,2000-07-31,https://www.sec.gov/Archives/edgar/data/000095013400006112/e10-k.txt
1106842,SEEBEYOND TECHNOLOGY CORP,10-Q,2000-06-12,https://www.sec.gov/Archives/edgar/data/000091205700028162/a10-q.txt
840824,NETEGRITY INC,10-Q,2000-05-15,https://www.sec.gov/Archives/edgar/data/000095013500002878/
1002044,INFINIUM SOFTWARE INC,10-Q,2000-05-12,https://www.sec.gov/Archives/edgar/data/000095013500002795/
352683,SAGA SYSTEMS INC /DE/,10-Q,2000-05-12,https://www.sec.gov/Archives/edgar/data/000092838500001507/
1019180,SOFTWARE COM INC,10-Q,2000-05-12,https://www.sec.gov/Archives/edgar/data/000094130200000173/
1060531,BEYOND COM CORP,10-Q,2000-05-12,https://www.sec.gov/Archives/edgar/data/000089161800002795/
1060531,BEYOND COM CORP,10-K,2000-04-05,https://www.sec.gov/Archives/edgar/data/000089161800001983/
1019180,SOFTWARE COM INC,10-K,2000-03-30,https://www.sec.gov/Archives/edgar/data/000101287000001689/
840824,NETEGRITY INC,10-K,2000-03-20,https://www.sec.gov/Archives/edgar/data/000095013500001501/
875173,SOFTWARE SPECTRUM INC,10-Q,2000-03-16,https://www.sec.gov/Archives/edgar/data/000095013400002011/
1002044,INFINIUM SOFTWARE INC,10-Q,2000-02-09,https://www.sec.gov/Archives/edgar/data/000095013500000536/
1002044,INFINIUM SOFTWARE INC,10-K,1999-12-21,https://www.sec.gov/Archives/edgar/data/000095013599005664/
875173,SOFTWARE SPECTRUM INC,10-Q,1999-12-15,https://www.sec.gov/Archives/edgar/data/000091205799009509/
1060531,BEYOND COM CORP,10-Q,1999-11-15,https://www.sec.gov/Archives/edgar/data/000089161899005218/
1019180,SOFTWARE COM INC,10-Q,1999-11-12,https://www.sec.gov/Archives/edgar/data/000094420999001740/
352683,SAGA SYSTEMS INC /DE/,10-Q,1999-11-12,https://www.sec.gov/Archives/edgar/data/000092838599003348/
840824,NETEGRITY INC,10-Q,1999-10-22,https://www.sec.gov/Archives/edgar/data/000095013599004829/
875173,SOFTWARE SPECTRUM INC,10-Q,1999-09-14,https://www.sec.gov/Archives/edgar/data/000104746999035702/
1060531,BEYOND COM CORP,10-Q,1999-08-16,https://www.sec.gov/Archives/edgar/data/000089161899003847/
1002044,INFINIUM SOFTWARE INC,10-Q,1999-08-13,https://www.sec.gov/Archives/edgar/data/000095013599003997/
840824,NETEGRITY INC,10-Q,1999-08-13,https://www.sec.gov/Archives/edgar/data/000084082499000002/
352683,SAGA SYSTEMS INC /DE/,10-Q,1999-08-12,https://www.sec.gov/Archives/edgar/data/000092838599002548/
1019180,SOFTWARE COM INC,10-Q,1999-08-12,https://www.sec.gov/Archives/edgar/data/000089843099003219/
875173,SOFTWARE SPECTRUM INC,10-K,1999-07-28,https://www.sec.gov/Archives/edgar/data/000104746999028904/
1060531,BEYOND COM CORP,10-Q,1999-05-17,https://www.sec.gov/Archives/edgar/data/000089161899002322/
